DATE,IPB50001NQ
1919-01-01,4.6238
1919-04-01,4.7583
1919-07-01,5.2421
1919-10-01,5.0809
1920-01-01,5.5020
1920-04-01,5.3766
1920-07-01,5.2242
1920-10-01,4.5432
1921-01-01,3.8532
1921-04-01,3.8980
1921-07-01,3.9518
1921-10-01,4.1668
1922-01-01,4.5342
1922-04-01,4.8747
1922-07-01,5.0719
1922-10-01,5.7350
1923-01-01,5.8605
1923-04-01,6.2906
1923-07-01,6.0934
1923-10-01,5.8425
1924-01-01,5.8873
1924-04-01,5.5199
1924-07-01,5.3855
1924-10-01,5.7708
1925-01-01,6.0845
1925-04-01,6.1741
1925-07-01,6.2010
1925-10-01,6.3802
1926-01-01,6.3981
1926-04-01,6.5325
1926-07-01,6.7207
1926-10-01,6.6849
1927-01-01,6.6849
1927-04-01,6.7476
1927-07-01,6.5952
1927-10-01,6.3085
1928-01-01,6.5146
1928-04-01,6.7565
1928-07-01,6.9895
1928-10-01,7.1239
1929-01-01,7.4107
1929-04-01,7.8946
1929-07-01,7.8856
1929-10-01,7.1777
1930-01-01,6.7834
1930-04-01,6.8013
1930-07-01,6.1203
1930-10-01,5.5558
1931-01-01,5.4303
1931-04-01,5.6454
1931-07-01,5.1884
1931-10-01,4.6418
1932-01-01,4.3729
1932-04-01,4.0055
1932-07-01,3.8711
1932-10-01,4.1220
1933-01-01,3.8980
1933-04-01,4.8120
1933-07-01,5.7171
1933-10-01,4.8747
1934-01-01,5.2063
1934-04-01,5.6633
1934-07-01,5.0898
1934-10-01,5.0629
1935-01-01,5.8246
1935-04-01,5.8336
1935-07-01,6.0486
1935-10-01,6.5594
1936-01-01,6.3533
1936-04-01,7.0343
1936-07-01,7.3838
1936-10-01,7.8946
1937-01-01,8.0111
1937-04-01,8.3785
1937-07-01,8.1903
1937-10-01,6.8014
1938-01-01,5.7619
1938-04-01,5.6633
1938-07-01,6.3712
1938-10-01,6.9895
1939-01-01,7.0971
1939-04-01,7.0612
1939-07-01,7.6258
1939-10-01,8.6921
1940-01-01,8.2978
1940-04-01,8.3874
1940-07-01,8.9072
1940-10-01,9.6061
1941-01-01,10.3140
1941-04-01,10.9144
1941-07-01,11.3983
1941-10-01,11.7926
1942-01-01,12.2675
1942-04-01,12.0614
1942-07-01,12.7514
1942-10-01,13.8626
1943-01-01,14.6153
1943-04-01,15.0902
1943-07-01,15.7712
1943-10-01,16.3716
1944-01-01,16.7390
1944-04-01,16.8197
1944-07-01,16.6136
1944-10-01,16.3806
1945-01-01,16.3089
1945-04-01,15.6906
1945-07-01,13.3697
1945-10-01,11.7568
1946-01-01,11.4162
1946-04-01,11.7478
1946-07-01,12.7783
1946-10-01,13.2801
1947-01-01,13.7461
1947-04-01,13.5848
1947-07-01,13.6117
1947-10-01,14.4092
1948-01-01,14.3106
1948-04-01,14.2479
1948-07-01,14.4361
1948-10-01,14.6959
1949-01-01,13.9880
1949-04-01,13.3608
1949-07-01,13.4683
1949-10-01,13.7013
1950-01-01,14.2569
1950-04-01,15.2605
1950-07-01,16.4344
